name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
Tyler Kolek,/cbb/players/tyler-kolek-1.html,Marquette,5.9,.281,.810,32,29.3,2.0,6.7,3.7
Kameron Jones,/cbb/players/kam-jones-1.html,Marquette,1.2,.392,.611,31,18.5,1.0,7.4,1.4
Stevie Mitchell,/cbb/players/stevie-mitchell-1.html,Marquette,0.9,.350,.560,32,10.8,1.0,2.8,1.4
David Joplin,/cbb/players/david-joplin-1.html,Marquette,0.2,.288,.500,32,6.9,1.0,2.8,0.9
Matthias Tass,/cbb/players/matthias-tass-1.html,Saint Mary's,2.1,.111,.796,34,28.9,4.0,12.6,6.1
Tommy Kuhse,/cbb/players/tommy-kuhse-1.html,Saint Mary's,3.7,.450,.808,34,30.0,5.0,12.2,3.7
Logan Johnson,/cbb/players/logan-johnson-2.html,Saint Mary's,2.6,.318,.720,34,31.7,4.0,11.9,4.1
Kyle Bowen,/cbb/players/kyle-bowen-1.html,Saint Mary's,1.3,.392,.714,34,29.4,3.0,5.6,5.5
Alex Ducas,/cbb/players/alex-ducas-1.html,Saint Mary's,0.9,.387,.820,34,29.8,3.0,10.3,3.7
Dan Fotu,/cbb/players/dan-fotu-1.html,Saint Mary's,0.5,.333,.754,34,13.9,4.0,6.3,3.0
Jabe Mullins,/cbb/players/jabe-mullins-1.html,Saint Mary's,0.3,.373,.667,34,9.6,2.0,2.9,1.0
Mitchell Saxen,/cbb/players/mitchell-saxen-1.html,Saint Mary's,0.1,,.542,28,7.4,2.0,3.3,2.3
Augustas Marciulionis,/cbb/players/augustas-marciulionis-1.html,Saint Mary's,1.8,.183,.839,34,15.1,1.0,3.1,1.0
Trayce Jackson-Davis,/cbb/players/trayce-jackson-davis-1.html,Indiana,1.9,.000,.674,35,32.3,3.0,18.3,8.1
Race Thompson,/cbb/players/race-thompson-1.html,Indiana,1.4,.273,.652,35,28.5,4.0,11.1,7.5
Xavier Johnson,/cbb/players/xavier-johnson-2.html,Indiana,5.1,.383,.782,34,27.7,4.0,12.1,3.8
Parker Stewart,/cbb/players/parker-stewart-1.html,Indiana,1.0,.393,.643,34,24.4,4.0,6.2,2.1
Miller Kopp,/cbb/players/miller-kopp-1.html,Indiana,1.1,.361,.865,35,25.1,4.0,6.0,2.5
Jordan Geronimo,/cbb/players/jordan-geronimo-1.html,Indiana,0.3,.310,.568,34,12.6,2.0,4.4,3.6
Tamar Bates,/cbb/players/tamar-bates-1.html,Indiana,0.6,.298,.833,32,14.5,1.0,3.9,1.3
Rob Phinisee,/cbb/players/rob-phinisee-1.html,Indiana,1.7,.264,.412,25,18.3,4.0,4.5,2.1
